NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,V_numerico,variavel_padronizada
6,Município,1006,Hectares,7000,3500105,Adamantina (SP),8331,Área plantada ou destinada à colheita,2000,2000,40106,Cana-de-açúcar,7000,area_plantada_ha
6,Município,1006,Hectares,7000,3500105,Adamantina (SP),8331,Área plantada ou destinada à colheita,2001,2001,40106,Cana-de-açúcar,7000,area_plantada_ha
6,Município,1006,Hectares,8048,3500105,Adamantina (SP),8331,Área plantada ou destinada à colheita,2002,2002,40106,Cana-de-açúcar,8048,area_plantada_ha
6,Município,1006,Hectares,7644,3500105,Adamantina (SP),8331,Área plantada ou destinada à colheita,2003,2003,40106,Cana-de-açúcar,7644,area_plantada_ha
6,Município,1006,Hectares,8300,3500105,Adamantina (SP),8331,Área plantada ou destinada à colheita,2004,2004,40106,Cana-de-açúcar,8300,area_plantada_ha
6,Município,1006,Hectares,8603,3500105,Adamantina (SP),8331,Área plantada ou destinada à colheita,2005,2005,40106,Cana-de-açúcar,8603,area_plantada_ha
6,Município,1006,Hectares,8000,3500105,Adamantina (SP),8331,Área plantada ou destinada à colheita,2006,2006,40106,Cana-de-açúcar,8000,area_plantada_ha
6,Município,1006,Hectares,12000,3500105,Adamantina (SP),8331,Área plantada ou destinada à colheita,2007,2007,40106,Cana-de-açúcar,12000,area_plantada_ha
6,Município,1006,Hectares,13000,3500105,Adamantina (SP),8331,Área plantada ou destinada à colheita,2008,2008,40106,Cana-de-açúcar,13000,area_plantada_ha
6,Município,1006,Hectares,13000,3500105,Adamantina (SP),8331,Área plantada ou destinada à colheita,2009,2009,40106,Cana-de-açúcar,13000,area_plantada_ha
6,Município,1006,Hectares,13000,3500105,Adamantina (SP),8331,Área plantada ou destinada à colheita,2010,2010,40106,Cana-de-açúcar,13000,area_plantada_ha
6,Município,1006,Hectares,13000,3500105,Adamantina (SP),8331,Área plantada ou destinada à colheita,2011,2011,40106,Cana-de-açúcar,13000,area_plantada_ha
6,Município,1006,Hectares,13000,3500105,Adamantina (SP),8331,Área plantada ou destinada à colheita,2012,2012,40106,Cana-de-açúcar,13000,area_plantada_ha
6,Município,1006,Hectares,13000,3500105,Adamantina (SP),8331,Área plantada ou destinada à colheita,2013,2013,40106,Cana-de-açúcar,13000,area_plantada_ha
6,Município,1006,Hectares,12115,3500105,Adamantina (SP),8331,Área plantada ou destinada à colheita,2014,2014,40106,Cana-de-açúcar,12115,area_plantada_ha
6,Município,1006,Hectares,12950,3500105,Adamantina (SP),8331,Área plantada ou destinada à colheita,2015,2015,40106,Cana-de-açúcar,12950,area_plantada_ha
6,Município,1006,Hectares,12900,3500105,Adamantina (SP),8331,Área plantada ou destinada à colheita,2016,2016,40106,Cana-de-açúcar,12900,area_plantada_ha
6,Município,1006,Hectares,12800,3500105,Adamantina (SP),8331,Área plantada ou destinada à colheita,2017,2017,40106,Cana-de-açúcar,12800,area_plantada_ha
6,Município,1006,Hectares,13000,3500105,Adamantina (SP),8331,Área plantada ou destinada à colheita,2018,2018,40106,Cana-de-açúcar,13000,area_plantada_ha
6,Município,1006,Hectares,12500,3500105,Adamantina (SP),8331,Área plantada ou destinada à colheita,2019,2019,40106,Cana-de-açúcar,12500,area_plantada_ha
6,Município,1006,Hectares,11349,3500105,Adamantina (SP),8331,Área plantada ou destinada à colheita,2020,2020,40106,Cana-de-açúcar,11349,area_plantada_ha
6,Município,1006,Hectares,13672,3500105,Adamantina (SP),8331,Área plantada ou destinada à colheita,2021,2021,40106,Cana-de-açúcar,13672,area_plantada_ha
6,Município,1006,Hectares,12549,3500105,Adamantina (SP),8331,Área plantada ou destinada à colheita,2022,2022,40106,Cana-de-açúcar,12549,area_plantada_ha
6,Município,1006,Hectares,11349,3500105,Adamantina (SP),8331,Área plantada ou destinada à colheita,2023,2023,40106,Cana-de-açúcar,11349,area_plantada_ha
6,Município,1006,Hectares,11349,3500105,Adamantina (SP),8331,Área plantada ou destinada à colheita,2024,2024,40106,Cana-de-açúcar,11349,area_plantada_ha
6,Município,1006,Hectares,7000,3500105,Adamantina (SP),216,Área colhida,2000,2000,40106,Cana-de-açúcar,7000,area_colhida_ha
6,Município,1006,Hectares,7000,3500105,Adamantina (SP),216,Área colhida,2001,2001,40106,Cana-de-açúcar,7000,area_colhida_ha
6,Município,1006,Hectares,8048,3500105,Adamantina (SP),216,Área colhida,2002,2002,40106,Cana-de-açúcar,8048,area_colhida_ha
6,Município,1006,Hectares,7644,3500105,Adamantina (SP),216,Área colhida,2003,2003,40106,Cana-de-açúcar,7644,area_colhida_ha
6,Município,1006,Hectares,8300,3500105,Adamantina (SP),216,Área colhida,2004,2004,40106,Cana-de-açúcar,8300,area_colhida_ha
6,Município,1006,Hectares,8603,3500105,Adamantina (SP),216,Área colhida,2005,2005,40106,Cana-de-açúcar,8603,area_colhida_ha
6,Município,1006,Hectares,8000,3500105,Adamantina (SP),216,Área colhida,2006,2006,40106,Cana-de-açúcar,8000,area_colhida_ha
6,Município,1006,Hectares,12000,3500105,Adamantina (SP),216,Área colhida,2007,2007,40106,Cana-de-açúcar,12000,area_colhida_ha
6,Município,1006,Hectares,13000,3500105,Adamantina (SP),216,Área colhida,2008,2008,40106,Cana-de-açúcar,13000,area_colhida_ha
6,Município,1006,Hectares,13000,3500105,Adamantina (SP),216,Área colhida,2009,2009,40106,Cana-de-açúcar,13000,area_colhida_ha
6,Município,1006,Hectares,13000,3500105,Adamantina (SP),216,Área colhida,2010,2010,40106,Cana-de-açúcar,13000,area_colhida_ha
6,Município,1006,Hectares,13000,3500105,Adamantina (SP),216,Área colhida,2011,2011,40106,Cana-de-açúcar,13000,area_colhida_ha
6,Município,1006,Hectares,13000,3500105,Adamantina (SP),216,Área colhida,2012,2012,40106,Cana-de-açúcar,13000,area_colhida_ha
6,Município,1006,Hectares,13000,3500105,Adamantina (SP),216,Área colhida,2013,2013,40106,Cana-de-açúcar,13000,area_colhida_ha
6,Município,1006,Hectares,12115,3500105,Adamantina (SP),216,Área colhida,2014,2014,40106,Cana-de-açúcar,12115,area_colhida_ha
6,Município,1006,Hectares,12950,3500105,Adamantina (SP),216,Área colhida,2015,2015,40106,Cana-de-açúcar,12950,area_colhida_ha
6,Município,1006,Hectares,12900,3500105,Adamantina (SP),216,Área colhida,2016,2016,40106,Cana-de-açúcar,12900,area_colhida_ha
6,Município,1006,Hectares,12800,3500105,Adamantina (SP),216,Área colhida,2017,2017,40106,Cana-de-açúcar,12800,area_colhida_ha
6,Município,1006,Hectares,13000,3500105,Adamantina (SP),216,Área colhida,2018,2018,40106,Cana-de-açúcar,13000,area_colhida_ha
6,Município,1006,Hectares,12500,3500105,Adamantina (SP),216,Área colhida,2019,2019,40106,Cana-de-açúcar,12500,area_colhida_ha
6,Município,1006,Hectares,11349,3500105,Adamantina (SP),216,Área colhida,2020,2020,40106,Cana-de-açúcar,11349,area_colhida_ha
6,Município,1006,Hectares,13672,3500105,Adamantina (SP),216,Área colhida,2021,2021,40106,Cana-de-açúcar,13672,area_colhida_ha
6,Município,1006,Hectares,12549,3500105,Adamantina (SP),216,Área colhida,2022,2022,40106,Cana-de-açúcar,12549,area_colhida_ha
6,Município,1006,Hectares,11349,3500105,Adamantina (SP),216,Área colhida,2023,2023,40106,Cana-de-açúcar,11349,area_colhida_ha
