codigo_ibge,nome_municipio,latitude,longitude
3547502,Santa Rita do Passa Quatro,-21.7103738,-47.4777943
3552908,Taciba,-22.3893943,-51.2888486
3536307,Patrocínio Paulista,-20.6395883,-47.28231
3555109,Tupi Paulista,-21.3860829,-51.5762374
3552304,Sud Mennucci,-20.6906175,-50.9240834
3553856,Taquarivaí,-23.9257829,-48.7005328
3552502,Suzano,-23.5427842,-46.3108391
3553302,Tambaú,-21.70292,-47.270344
3503406,Arealva,-22.0301906,-48.9111936
3536257,Parisi,-20.2588263,-50.0416148
3503158,Arapeí,-22.6738889,-44.4477778
3552007,Silveiras,-22.66384,-44.852157
3510302,Capela do Alto,-23.4704798,-47.7352309
3529203,Martinópolis,-22.146153,-51.170949
3540259,Pontalinda,-20.44071,-50.5235329
3535200,Palmeira d'Oeste,-20.4168187,-50.762159
3525300,Jaú,-22.2933031,-48.5593432
3551405,Serra Azul,-21.3110257,-47.5655346
3515301,Estrela do Norte,-22.4886301,-51.6606857
3553005,Taguaí,-23.4534312,-49.4054454
3501004,Altinópolis,-21.021364,-47.3712
3537008,Pedregulho,-20.25071,-47.4808786
3553708,Taquaritinga,-21.4064327,-48.5056132
3507001,Boituva,-23.2838893,-47.6738231
3518305,Guararema,-23.4136776,-46.0383744
3504909,Bananal,-22.6820178,-44.3221805
3545506,Sandovalina,-22.4560782,-51.7634004
3554003,Tatuí,-23.3489848,-47.8490165
3528601,Manduri,-23.0059018,-49.317191
3549250,São João de Iracema,-20.5134345,-50.352595
3508504,Caçapava,-23.099204,-45.707645
3556008,Urupês,-21.2027026,-49.2921996
3535804,Paranapanema,-23.390161,-48.720868
3500758,Alambari,-23.550338,-47.897971
3505104,Barbosa,-21.265661,-49.951816
3544509,Rubinéia,-20.1718325,-50.9995571
3520905,Ipaussu,-23.0544285,-49.6264306
3506805,Bocaina,-22.1421831,-48.522276
3520442,Ilha Solteira,-20.4281001,-51.3410871
3516101,Florínea,-22.9016004,-50.7268005
3504800,Bálsamo,-20.7343722,-49.5807484
3509908,Cananéia,-25.0104609,-47.9315628
3516507,Gabriel Monteiro,-21.5299436,-50.5533059
3503356,Arco-Íris,-21.7741308,-50.4668814
3512902,Cosmorama,-20.4801328,-49.7782265
3530706,Mogi Guaçu,-22.372222,-46.9425
3539103,Pirapora do Bom Jesus,-23.3972146,-47.0025661
3504602,Bady Bassitt,-20.9178969,-49.4517911
3538709,Piracicaba,-22.725165,-47.6493269
3541802,Queiroz,-21.7991405,-50.2392786
3525508,Joanópolis,-22.930004,-46.275208
3507456,Borebi,-22.5700178,-48.9714871
3501301,Álvares Machado,-22.076415,-51.47224
3514957,Embaúba,-20.9819513,-48.837455
3533254,Novais,-20.9941576,-48.9188283
3503307,Araras,-22.3569192,-47.3838766
3514809,Eldorado,-24.522583,-48.1093489
3512605,Coronel Macedo,-23.6304001,-49.313234
3509502,Campinas,-22.9056391,-47.059564
3534906,Pacaembu,-21.566243,-51.2633114
3541406,Presidente Prudente,-22.1225167,-51.3882528
3524402,Jacareí,-23.3050682,-45.9723075
3538105,Pindorama,-21.1853,-48.90861
3513702,Descalvado,-21.8797111,-47.6507427
