codigo_ibge,municipio,ano,produtividade_ton_ha_ibge,previsao
3500105,Adamantina (SP),2001,80.0,61.52480577901185
3500105,Adamantina (SP),2002,76.311,78.12335307410889
3500105,Adamantina (SP),2003,77.794,79.43578275180944
3500105,Adamantina (SP),2004,80.0,79.24014071036694
3500105,Adamantina (SP),2005,81.307,82.07264280516705
3500105,Adamantina (SP),2006,75.0,82.11561844907122
3500105,Adamantina (SP),2007,100.0,83.94163615646053
3500105,Adamantina (SP),2008,90.0,96.02926267367357
3500105,Adamantina (SP),2009,80.0,92.14222951031238
3500105,Adamantina (SP),2010,80.0,80.0471332765077
3500105,Adamantina (SP),2011,75.0,78.934464467542
3500105,Adamantina (SP),2012,60.0,67.58476117874471
3500105,Adamantina (SP),2013,70.0,73.30874717937658
3500105,Adamantina (SP),2014,60.0,61.46084346789082
3500105,Adamantina (SP),2015,80.0,70.93615181387356
3500105,Adamantina (SP),2016,80.0,78.7339787544001
3500105,Adamantina (SP),2017,80.0,78.85450144279872
3500105,Adamantina (SP),2018,70.0,75.64791663629042
3500105,Adamantina (SP),2019,75.0,70.64816999409753
3500105,Adamantina (SP),2020,70.0,72.09999083088624
3500105,Adamantina (SP),2021,65.0,63.805397832276356
3500105,Adamantina (SP),2022,65.0,66.87382517567232
3500105,Adamantina (SP),2023,71.111,70.81711079752135
3500105,Adamantina (SP),2024,71.481,71.73743235107113
3500204,Adolfo (SP),2004,120.0,97.88492374744074
3500204,Adolfo (SP),2005,89.009,93.23593363910399
3500204,Adolfo (SP),2006,100.0,105.88048179839423
3500204,Adolfo (SP),2007,100.0,102.38572021854532
3500204,Adolfo (SP),2008,80.0,86.46478988180414
3500204,Adolfo (SP),2009,90.0,84.7980304277747
3500204,Adolfo (SP),2010,90.0,89.63205042822648
3500204,Adolfo (SP),2011,90.0,88.66190085489326
3500204,Adolfo (SP),2012,90.0,85.60838515768901
3500204,Adolfo (SP),2013,90.0,86.3547114982212
3500204,Adolfo (SP),2014,70.0,74.75686586943532
3500204,Adolfo (SP),2015,70.0,76.72924560550504
3500204,Adolfo (SP),2016,80.0,77.57989821685784
3500204,Adolfo (SP),2017,90.0,82.39382267891062
3500204,Adolfo (SP),2018,90.0,86.81081769884474
3500204,Adolfo (SP),2019,90.0,81.3346120684649
3500204,Adolfo (SP),2020,90.0,87.54981088031327
3500204,Adolfo (SP),2021,90.0,80.11728697193082
3500204,Adolfo (SP),2022,90.0,88.59405711815252
3500204,Adolfo (SP),2023,90.0,92.63170695757921
3500204,Adolfo (SP),2024,90.0,84.06072647702007
3500303,Aguaí (SP),2002,87.0,83.18292909530368
3500303,Aguaí (SP),2003,86.089,86.71448720504046
3500303,Aguaí (SP),2004,86.0,86.06064861611507
3500303,Aguaí (SP),2005,85.434,84.60752443152813
3500303,Aguaí (SP),2006,85.0,85.73587145271162
3500303,Aguaí (SP),2007,85.0,86.88959746055811
3500303,Aguaí (SP),2008,89.08,87.14843542838031
